GAME_ID,Player,MP,FGA,FGM,3PA,3PM,FTA,FTM,OREB,DREB,TOT REB,AST,STL,BLK,TO,PTS
1,A. Bacot,24,6,9,0,0,3,3,2,2,4,1,2,0,1,15
1,G. Brooks,22,6,9,0,0,3,3,5,5,10,1,0,2,2,10
1,K. Walton,26,6,9,0,0,3,3,0,1,1,1,0,0,0,8
1,C. Love,28,6,9,0,0,3,3,0,1,1,3,0,0,0,10
1,L. Black,22,6,9,0,0,3,3,0,3,3,0,0,0,1,2
1,D. Farris,1,6,9,0,0,3,3,0,0,0,0,0,0,0,0
1,W. Kessler,13,6,9,0,0,3,3,0,1,1,1,0,0,1,2
1,D. Sharpe,19,6,9,0,0,3,3,1,2,3,1,0,1,3,4
1,R. McAdoo,1,6,9,0,0,3,3,0,0,0,0,0,0,0,0
1,W. Miller,1,6,9,0,0,3,3,0,0,0,0,0,0,1,0
1,S. Manley,1,6,9,0,0,3,3,1,0,1,0,0,1,0,0
1,A. Harris,12,6,9,0,0,3,3,0,0,0,0,0,0,0,6
1,R.J. Davis,22,6,9,0,0,3,3,1,3,4,2,0,1,0,5
1,K.J. Smith,1,6,9,0,0,3,3,0,0,0,0,0,0,0,0
1,A. Platek,7,6,9,0,0,3,3,0,2,2,0,0,0,1,0
2,A. Bacot,22,4,5,0,0,3,4,3,5,8,0,0,3,1,11
2,G. Brooks,28,4,5,0,0,3,4,2,9,11,1,0,2,4,7
2,R.J. Davis,27,4,5,0,0,3,4,2,2,4,1,1,0,1,11
2,C. Love,26,4,5,0,0,3,4,0,1,1,4,2,0,1,17
2,L. Black,28,4,5,0,0,3,4,1,1,2,1,1,1,1,4
2,D. Farris,1,4,5,0,0,3,4,0,0,0,0,0,0,0,0
2,W. Kessler,5,4,5,0,0,3,4,2,2,4,0,0,0,1,6
2,D. Sharpe,22,4,5,0,0,3,4,5,5,10,2,2,1,0,13
2,R. McAdoo,1,4,5,0,0,3,4,0,0,0,0,0,0,0,0
2,W. Miller,2,4,5,0,0,3,4,0,0,0,0,0,0,0,2
2,C. Lebo,1,4,5,0,0,3,4,0,1,1,0,0,0,0,0
2,P. Johnson,3,4,5,0,0,3,4,0,0,0,0,0,0,0,3
2,K. Walton,11,4,5,0,0,3,4,0,2,2,2,0,0,0,0
2,K.J. Smith,2,4,5,0,0,3,4,0,0,0,0,0,0,0,0
2,A. Platek,21,4,5,0,0,3,4,1,2,3,1,4,2,0,5
3,A. Bacot,20,4,4,0,0,4,4,2,3,5,1,0,0,3,12
3,G. Brooks,23,4,4,0,0,4,4,3,4,7,1,3,0,1,14
